config_id,power_mw,energy_mwh,scenario,dc_price_addition_percent,dam_weight,idm_weight,dc_weight,expected_return,portfolio_risk
7,100,150,up_30%,30.0,1.484787595085226e-16,0.26895655449845646,0.7310434455015433,9415.883139589265,5292.3486307951625
8,10,20,base_case,0.0,0.7557202748644595,0.2442797251355405,2.0816681711721685e-17,855.0988014748131,642.269383910507
8,10,20,down_80%,-80.0,0.9999999999999993,4.718447854656915e-16,6.938893903907228e-17,845.6515300546448,609.2295876708082
8,10,20,down_75%,-75.0,0.9999999999999986,1.2490009027033011e-15,3.191891195797325e-16,845.6515300546448,609.2295876708083
8,10,20,down_70%,-70.0,1.0,1.1102230246251565e-16,6.938893903907228e-17,845.6515300546449,609.2295876708082
8,10,20,down_65%,-65.0,1.0,0.0,0.0,845.6515300546449,609.2295876708082
8,10,20,down_60%,-60.0,0.9999999999999999,5.551115123125783e-17,2.7755575615628914e-17,845.6515300546449,609.2295876708082
8,10,20,down_55%,-55.0,0.9999999999999997,1.942890293094024e-16,9.71445146547012e-17,845.6515300546448,609.2295876708082
8,10,20,down_50%,-50.0,0.9999999999999996,2.7755575615628914e-16,4.163336342344337e-17,845.6515300546449,609.2295876708082
8,10,20,down_45%,-45.0,1.0,0.0,1.8041124150158794e-16,845.6515300546449,609.2295876708082
8,10,20,down_40%,-40.0,1.0,0.0,6.938893903907228e-17,845.6515300546449,609.2295876708082
8,10,20,down_35%,-35.0,1.0,0.0,0.0,845.6515300546449,609.2295876708082
8,10,20,down_30%,-30.0,0.9948780165839876,0.005121983301527242,5.312590645178972e-17,845.8496175713877,609.7232650575522
8,10,20,down_25%,-25.0,0.9835433133716466,0.016456686505741724,0.0,846.2879757601886,610.885843110764
8,10,20,down_20%,-20.0,0.9683251280339491,0.03167487125806242,3.2959746043559335e-17,846.8765236396982,612.5757854261393
8,10,20,down_15%,-15.0,0.9468521601640967,0.05314783983590336,0.0,847.706969031608,615.1568234143506
8,10,20,down_10%,-10.0,0.9144617237012627,0.08553827629873732,1.2836953722228372e-16,848.9596364173777,619.3578176044197
8,10,20,down_5%,-5.0,0.8603674175691958,0.13963258243080418,6.505213034913027e-17,851.0516790215347,626.8756812731517
8,10,20,up_5%,5.0,0.1961205426996145,0.5957230052987852,0.2081564520016004,867.0491729902299,681.458427039769
8,10,20,up_10%,10.0,1.155676683565812e-16,0.5659530777103425,0.43404692228965747,881.4360948542532,682.7129014289812
8,10,20,up_15%,15.0,0.0,0.44949323127630925,0.5505067687236909,902.6066456215134,685.9585288413583
8,10,20,up_20%,20.0,5.259447045600307e-17,0.41537484138000336,0.5846251586199965,927.0674644723911,689.336185385987
8,10,20,up_25%,25.0,4.056876224510117e-18,0.4017254566487022,0.5982745433512978,951.939467603633,690.9582402339043
8,10,20,up_30%,30.0,5.884065511720541e-18,0.3946617480604886,0.6053382519395113,976.890933696089,691.8552081346337
9,30,60,base_case,0.0,0.7557246624207798,0.24427533757922026,1.734723475976807e-17,2565.296383003197,1926.80569765804
9,30,60,down_80%,-80.0,0.9999999999999998,1.942890293094024e-16,6.938893903907228e-17,2536.955191256831,1827.6883402954347
9,30,60,down_75%,-75.0,1.0,0.0,4.163336342344337e-17,2536.955191256831,1827.6883402954347
9,30,60,down_70%,-70.0,0.9999999999999998,2.498001805406602e-16,9.71445146547012e-17,2536.955191256831,1827.6883402954347
9,30,60,down_65%,-65.0,0.9999999999999992,6.938893903907228e-16,1.9426017580207047e-16,2536.955191256831,1827.688340295435
9,30,60,down_60%,-60.0,0.9999999999999994,5.551115123125783e-16,9.71445146547012e-17,2536.955191256831,1827.688340295435
9,30,60,down_55%,-55.0,1.0,8.326672684688674e-17,0.0,2536.955191256831,1827.6883402954347
9,30,60,down_50%,-50.0,1.0,0.0,1.3877787807814457e-17,2536.955191256831,1827.6883402954347
9,30,60,down_45%,-45.0,0.9999999999999998,2.220446049250313e-16,4.163336342344337e-17,2536.955191256831,1827.6883402954347
9,30,60,down_40%,-40.0,1.0,0.0,1.3877787807814457e-17,2536.955191256831,1827.6883402954347
9,30,60,down_35%,-35.0,1.0,0.0,0.0,2536.955191256831,1827.6883402954347
9,30,60,down_30%,-30.0,0.9948756404041792,0.0051243595958208755,0.0,2537.5497271576783,1829.170074173145
9,30,60,down_25%,-25.0,0.9835419554280121,0.01645804457198797,0.0,2538.864678320107,1832.6575591750266
9,30,60,down_20%,-20.0,0.968325748628541,0.031674251371458864,1.0408340855860843e-16,2540.6300854988663,1837.7267809403004
9,30,60,down_15%,-15.0,0.9468613516767913,0.053138647927295064,0.0,2543.120416991526,1845.4665242794229
9,30,60,down_10%,-10.0,0.9144485272211896,0.08555147277881037,4.5102810375396984e-17,2546.8810016895845,1858.0780609884014
9,30,60,down_5%,-5.0,0.8603468631526738,0.1396531368473261,6.028164079019405e-17,2553.157958055129,1880.6351177125453
9,30,60,up_5%,5.0,0.1964690243947072,0.5955334639594209,0.20799751164587196,2601.1220993742895,2044.3058596371036
9,30,60,up_10%,10.0,0.0,0.5660120776209127,0.43398792237908784,2644.293176684347,2048.1467094342174
9,30,60,up_15%,15.0,0.0,0.44947216210669655,0.5505278378933035,2707.8425540231688,2057.8812325188383
9,30,60,up_20%,20.0,1.514833887059969e-17,0.4153715995719752,0.5846284004280248,2781.2117868526066,2068.0101422442485
9,30,60,up_25%,25.0,4.1564037231728076e-17,0.40172708413086794,0.598272915869132,2855.811857788181,2072.8733454018356
9,30,60,up_30%,30.0,1.766159865395841e-18,0.39466325054116363,0.6053367494588364,2930.6433874431696,2075.562596460885
10,50,100,base_case,0.0,0.7557217692800252,0.24427823071997484,0.0,4275.494898265036,3211.3452490353616
10,50,100,down_80%,-80.0,1.0,0.0,0.0,4228.259043715847,3046.147459490594
10,50,100,down_75%,-75.0,1.0,0.0,1.3877787807814457e-17,4228.259043715847,3046.147459490594
10,50,100,down_70%,-70.0,1.0,0.0,1.3877787807814457e-17,4228.259043715847,3046.147459490594
10,50,100,down_65%,-65.0,1.0,0.0,0.0,4228.259043715847,3046.147459490594
10,50,100,down_60%,-60.0,0.9999999999999993,7.216449660063518e-16,2.7755575615628914e-17,4228.259043715847,3046.1474594905944
10,50,100,down_55%,-55.0,0.9999999999999998,1.1102230246251565e-16,1.6653345369377348e-16,4228.259043715847,3046.147459490594
10,50,100,down_50%,-50.0,1.0,0.0,0.0,4228.259043715847,3046.147459490594
10,50,100,down_45%,-45.0,0.9999999999999993,3.885780586188048e-16,1.8041124150158794e-16,4228.259043715847,3046.147459490594
10,50,100,down_40%,-40.0,1.0,0.0,0.0,4228.259043715847,3046.147459490594
10,50,100,down_35%,-35.0,1.0,0.0,0.0,4228.259043715847,3046.147459490594
10,50,100,down_30%,-30.0,0.9948794850721897,0.005120514927810425,0.0,4229.249192930675,3048.615121269488
10,50,100,down_25%,-25.0,0.9835428781484388,0.016457121851561028,2.0383000842727483e-16,4231.441342080247,3054.428980837829
10,50,100,down_20%,-20.0,0.9683230943862667,0.03167690537772182,1.3183898417423734e-16,4234.384377415753,3062.879753475217
10,50,100,down_15%,-15.0,0.9468538869808728,0.05314611262315789,3.469446951953614e-17,4238.535858058095,3075.782362610666
10,50,100,down_10%,-10.0,0.9144619761291957,0.08553802387080436,0.0,4244.799451930192,3096.7881420957046
10,50,100,down_5%,-5.0,0.8603723755080768,0.1396276244919231,0.0,4255.258707755128,3134.373746056199
10,50,100,up_5%,5.0,0.19607103801019582,0.5957499708930278,0.20817899109677637,4335.253275848517,3407.3102389931955
10,50,100,up_10%,10.0,0.0,0.5659425413231232,0.43405745867687695,4407.184686783718,3413.5677353158753
10,50,100,up_15%,15.0,0.0,0.44949057291762307,0.5505094270823772,4513.031797067309,3429.7946256169835
10,50,100,up_20%,20.0,9.139080475651053e-17,0.4153748608171826,0.5846251391828173,4635.334176481917,3446.6811350343623
10,50,100,up_25%,25.0,1.1016973724072503e-17,0.40172663128593644,0.5982733687140634,4759.683969256269,3454.7892924319985
10,50,100,up_30%,30.0,0.0,0.3946613515851052,0.6053386484148948,4884.446576055021,3459.2723543999873
11,100,200,base_case,0.0,0.755721982281677,0.24427801771832303,0.0,8550.989445307638,6422.690063512764
11,100,200,down_80%,-80.0,1.0,0.0,0.0,8456.51800546448,6092.294862582166
11,100,200,down_75%,-75.0,1.0,0.0,0.0,8456.51800546448,6092.294862582166
11,100,200,down_70%,-70.0,0.9999999999999989,9.992007221626409e-16,1.942890293094024e-16,8456.51800546448,6092.294862582167
11,100,200,down_65%,-65.0,0.9999999999999996,3.3306690738754696e-16,1.6653345369377348e-16,8456.51800546448,6092.294862582166
11,100,200,down_60%,-60.0,1.0,1.1102230246251565e-16,0.0,8456.51800546448,6092.294862582166
11,100,200,down_55%,-55.0,1.0,0.0,0.0,8456.51800546448,6092.294862582166
11,100,200,down_50%,-50.0,1.0,0.0,0.0,8456.51800546448,6092.294862582166
11,100,200,down_45%,-45.0,1.0,0.0,0.0,8456.51800546448,6092.294862582166
11,100,200,down_40%,-40.0,0.9999999999999998,3.0531133177191805e-16,1.3877787807814457e-17,8456.51800546448,6092.294862582166
11,100,200,down_35%,-35.0,0.9999999999999997,3.608224830031759e-16,0.0,8456.51800546448,6092.294862582166
11,100,200,down_30%,-30.0,0.9948771702966385,0.005122829703361736,0.0,8458.499195187029,6097.232463499806
11,100,200,down_25%,-25.0,0.9835430402489054,0.01645695975109476,0.0,8462.882526912823,6108.85772926378
11,100,200,down_20%,-20.0,0.9683232838005221,0.031676716199477845,1.734723475976807e-17,8468.768575600998,6125.759225946378
11,100,200,down_15%,-15.0,0.9468670063258489,0.05313299367415112,0.0,8477.066520072793,6151.548311787981
11,100,200,down_10%,-10.0,0.9144419583166908,0.08555804168330942,0.0,8489.606498090548,6193.603040188845
11,100,200,down_5%,-5.0,0.8603727213731385,0.13962727862686172,0.0,8510.517092965149,6268.746911919939
11,100,200,up_5%,5.0,0.19607182079157032,0.5957495415253261,0.20817863768310357,8670.505835956326,6814.619725153389
11,100,200,up_10%,10.0,0.0,0.566038003522261,0.43396199647773925,8814.289047663684,6827.164394826056
11,100,200,up_15%,15.0,1.0073270107700568e-16,0.4494619078072298,0.5505380921927701,9026.182238187845,6859.61306897609
