Date,DAM_Daily_Profit,IDM_Daily_Profit,DC_Daily_Profit
2022-12-06,847.67,1274.57,4451.2
2022-12-07,1267.49,1054.37,2194.2
2022-12-08,2106.01,971.53,3493.8
2022-12-09,2128.73,1737.32,4149.4
2022-12-10,1184.08,1045.93,777.9
2022-12-11,1834.79,1637.99,3210.2
2022-12-12,21260.22,3837.39,6090.6
2022-12-13,2175.88,2159.75,4515.5
2022-12-14,1730.54,2077.65,1883.8
2022-12-15,1800.5,1617.6,1756.2
2022-12-16,1726.67,2246.47,1200.6
2022-12-17,619.85,879.2,639.0
2022-12-18,409.93,166.52,1197.1
2022-12-19,1619.72,1404.89,3140.2
2022-12-20,1625.5,2230.43,1164.5
2022-12-21,675.22,442.6,1240.6
2022-12-22,1265.86,697.0,1337.0
2022-12-23,323.22,206.54,1476.2
2022-12-24,1184.37,1141.59,983.7
2022-12-25,1269.91,1707.84,1500.2
2022-12-26,1453.59,1361.0,1743.0
2022-12-27,915.15,1293.77,1099.5
2022-12-28,1255.41,2251.1,1380.2
2022-12-29,1623.33,1950.45,1695.0
2022-12-30,1319.87,1604.02,1408.3
2022-12-31,1779.28,2970.44,929.9
