config_id,power_mw,energy_mwh,scenario,dc_price_addition_percent,dam_mean,idm_mean,dc_mean,dam_std,idm_std,dc_std,corr_dam_idm,corr_dam_dc,corr_idm_dc,num_days
5,10,15,base_case,0.0,649.1234,681.6327,797.8669,461.1413,575.0353,403.1331,0.6687,0.7221,0.4698,366
5,10,15,down_80%,-80.0,649.1234,681.6327,159.5754,461.1413,575.0353,403.2601,0.6687,0.7219,0.4698,366
5,10,15,down_75%,-75.0,649.1234,681.6327,199.4568,461.1413,575.0353,403.2501,0.6687,0.722,0.4698,366
5,10,15,down_70%,-70.0,649.1234,681.6327,239.362,461.1413,575.0353,403.2413,0.6687,0.722,0.4698,366
5,10,15,down_65%,-65.0,649.1234,681.6327,279.262,461.1413,575.0353,403.2289,0.6687,0.722,0.4698,366
5,10,15,down_60%,-60.0,649.1234,681.6327,319.1445,461.1413,575.0353,403.2169,0.6687,0.722,0.4698,366
5,10,15,down_55%,-55.0,649.1234,681.6327,359.047,461.1413,575.0353,403.2053,0.6687,0.722,0.4698,366
5,10,15,down_50%,-50.0,649.1234,681.6327,398.9287,461.1413,575.0353,403.1967,0.6687,0.722,0.4698,366
5,10,15,down_45%,-45.0,649.1234,681.6327,438.8309,461.1413,575.0353,403.1948,0.6687,0.722,0.4698,366
5,10,15,down_40%,-40.0,649.1234,681.6327,478.7358,461.1413,575.0353,403.1878,0.6687,0.722,0.4698,366
5,10,15,down_35%,-35.0,649.1234,681.6327,518.615,461.1413,575.0353,403.1786,0.6687,0.722,0.4698,366
5,10,15,down_30%,-30.0,649.1234,681.6327,558.497,461.1413,575.0353,403.1713,0.6687,0.722,0.4698,366
5,10,15,down_25%,-25.0,649.1234,681.6327,598.3962,461.1413,575.0353,403.1627,0.6687,0.7221,0.4698,366
5,10,15,down_20%,-20.0,649.1234,681.6327,638.2986,461.1413,575.0353,403.1531,0.6687,0.7221,0.4698,366
5,10,15,down_15%,-15.0,649.1234,681.6327,678.2005,461.1413,575.0353,403.1529,0.6687,0.7221,0.4698,366
5,10,15,down_10%,-10.0,649.1234,681.6327,718.0617,461.1413,575.0353,403.1465,0.6687,0.7221,0.4698,366
5,10,15,down_5%,-5.0,649.1234,681.6327,757.9669,461.1413,575.0353,403.1416,0.6687,0.7221,0.4698,366
5,10,15,up_5%,5.0,649.1234,681.6327,837.7664,461.1413,575.0353,403.1263,0.6687,0.7221,0.4698,366
5,10,15,up_10%,10.0,649.1234,681.6327,877.6686,461.1413,575.0353,403.1185,0.6687,0.7221,0.4698,366
5,10,15,up_15%,15.0,649.1234,681.6327,917.5333,461.1413,575.0353,403.1105,0.6687,0.7221,0.4698,366
5,10,15,up_20%,20.0,649.1234,681.6327,957.4355,461.1413,575.0353,403.1125,0.6687,0.7221,0.4698,366
5,10,15,up_25%,25.0,649.1234,681.6327,997.3404,461.1413,575.0353,403.1094,0.6687,0.7221,0.4698,366
5,10,15,up_30%,30.0,649.1234,681.6327,1037.2407,461.1413,575.0353,403.1028,0.6687,0.7221,0.4698,366
6,50,75,base_case,0.0,3245.6184,3408.1642,3989.335,2305.7077,2875.1755,2015.661,0.6687,0.7221,0.4698,366
6,50,75,down_80%,-80.0,3245.6184,3408.1642,797.8891,2305.7077,2875.1755,2016.284,0.6687,0.7219,0.4698,366
6,50,75,down_75%,-75.0,3245.6184,3408.1642,997.2981,2305.7077,2875.1755,2016.234,0.6687,0.722,0.4698,366
6,50,75,down_70%,-70.0,3245.6184,3408.1642,1196.8071,2305.7077,2875.1755,2016.1852,0.6687,0.722,0.4698,366
6,50,75,down_65%,-65.0,3245.6184,3408.1642,1396.3161,2305.7077,2875.1755,2016.138,0.6687,0.722,0.4698,366
6,50,75,down_60%,-60.0,3245.6184,3408.1642,1595.7257,2305.7077,2875.1755,2016.0923,0.6687,0.722,0.4698,366
6,50,75,down_55%,-55.0,3245.6184,3408.1642,1795.2344,2305.7077,2875.1755,2016.0481,0.6687,0.722,0.4698,366
6,50,75,down_50%,-50.0,3245.6184,3408.1642,1994.6437,2305.7077,2875.1755,2016.0055,0.6687,0.722,0.4698,366
6,50,75,down_45%,-45.0,3245.6184,3408.1642,2194.1527,2305.7077,2875.1755,2015.9643,0.6687,0.722,0.4698,366
6,50,75,down_40%,-40.0,3245.6184,3408.1642,2393.6617,2305.7077,2875.1755,2015.9245,0.6687,0.722,0.4698,366
6,50,75,down_35%,-35.0,3245.6184,3408.1642,2593.071,2305.7077,2875.1755,2015.8864,0.6687,0.722,0.4698,366
6,50,75,down_30%,-30.0,3245.6184,3408.1642,2792.4806,2305.7077,2875.1755,2015.8497,0.6687,0.722,0.4698,366
6,50,75,down_25%,-25.0,3245.6184,3408.1642,2991.9893,2305.7077,2875.1755,2015.8145,0.6687,0.7221,0.4698,366
6,50,75,down_20%,-20.0,3245.6184,3408.1642,3191.4984,2305.7077,2875.1755,2015.7808,0.6687,0.7221,0.4698,366
6,50,75,down_15%,-15.0,3245.6184,3408.1642,3391.0074,2305.7077,2875.1755,2015.7486,0.6687,0.7221,0.4698,366
6,50,75,down_10%,-10.0,3245.6184,3408.1642,3590.3172,2305.7077,2875.1755,2015.7179,0.6687,0.7221,0.4698,366
6,50,75,down_5%,-5.0,3245.6184,3408.1642,3789.8262,2305.7077,2875.1755,2015.6887,0.6687,0.7221,0.4698,366
6,50,75,up_5%,5.0,3245.6184,3408.1642,4188.844,2305.7077,2875.1755,2015.6348,0.6687,0.7221,0.4698,366
