config_id,power_mw,energy_mwh,risk_aversion,baseline_dam_weight,baseline_idm_weight,baseline_dc_weight,baseline_expected_return,baseline_portfolio_risk
14,400,800,3.0,0.4985952032224606,0.012008827520653093,0.4893959692568863,125917.20529023443,111420.66805863802
14,400,800,4.5,0.6543646812295042,0.019371442843185583,0.3262638759273102,113545.18120634141,107266.35366590599
14,400,800,6.0,0.7322472232026335,0.023055618596763125,0.2446971582006035,107359.10498325735,105205.61772430669
14,400,800,7.0,0.7656254597792554,0.024634545720323055,0.20973999450042177,104707.92956273444,104330.0899338209
14,400,800,8.0,0.7906591371908128,0.02581874311876672,0.18352211969042082,102719.54783382131,103678.65983564871
14,400,800,9.0,0.8101297751463881,0.026739785382985225,0.16313043947062703,101173.02872628463,103176.51198768156
14,400,800,10.0,0.8257062855775336,0.027476619031971215,0.1468170953904956,99935.81344825361,102778.74830655537
15,5,15,0.5,0.0,0.0,1.0,2057.377808219178,1555.9854381418447
15,5,15,1.0,0.0,3.3306690738754696e-16,1.0,2057.377808219178,1555.9854381418447
15,5,15,2.0,3.3306690738754696e-16,0.0,0.9999999999999998,2057.377808219178,1555.9854381418447
15,5,15,3.0,0.0,1.6653345369377348e-16,0.9999999999999998,2057.377808219178,1555.9854381418447
15,5,15,4.5,0.0,6.106226635438361e-16,0.9999999999999996,2057.3778082191775,1555.9854381418447
15,5,15,6.0,0.0,1.0547118733938987e-15,0.9999999999999991,2057.3778082191775,1555.9854381418447
15,5,15,7.0,2.220446049250313e-15,0.0,1.0,2057.3778082191775,1555.9854381418447
15,5,15,8.0,3.3306690738754696e-16,0.0,1.0,2057.377808219178,1555.9854381418447
15,5,15,9.0,1.9984014443252818e-15,0.0,1.0,2057.3778082191775,1555.9854381418447
15,5,15,10.0,2.1094237467877974e-15,0.0,1.0,2057.3778082191775,1555.9854381418447
16,10,30,0.5,0.0,2.7755575615628914e-16,1.0,4114.749041095891,3111.9698805589273
16,10,30,1.0,0.0,1.6653345369377348e-16,1.0,4114.749041095891,3111.9698805589273
16,10,30,2.0,5.551115123125783e-17,0.0,0.9999999999999998,4114.749041095891,3111.9698805589273
16,10,30,3.0,0.0,6.106226635438361e-16,0.9999999999999993,4114.74904109589,3111.9698805589273
16,10,30,4.5,0.0,1.1102230246251565e-15,0.9999999999999996,4114.74904109589,3111.9698805589273
