config_id,power_mw,energy_mwh,risk_aversion,baseline_dam_weight,baseline_idm_weight,baseline_dc_weight,baseline_expected_return,baseline_portfolio_risk,num_trading_days,dam_mean,idm_mean,dc_mean,dam_std,idm_std,dc_std,corr_dam_idm,corr_dam_dc,corr_idm_dc
7,100,150,2.0,0.0,0.1320330706695647,0.8679669293304361,13632.985203089705,11351.868147424862,181,8631.72011049724,8876.064585635359,14356.596685082874,8140.774370717716,12749.660733115541,6227.443679230585,0.3532096065517894,0.8285265502749153,0.3548267851904578
7,100,150,3.0,0.0,0.22099666659690126,0.7790033317565456,13145.417353777555,11087.65163919794,181,8631.72011049724,8876.064585635359,14356.596685082874,8140.774370717716,12749.660733115541,6227.443679230585,0.3532096065517894,0.8285265502749153,0.3548267851904578
7,100,150,4.5,0.0,0.2804484797953112,0.7195515202046888,12819.589789323412,10958.23398667313,181,8631.72011049724,8876.064585635359,14356.596685082874,8140.774370717716,12749.660733115541,6227.443679230585,0.3532096065517894,0.8285265502749153,0.3548267851904578
7,100,150,6.0,0.2443171068531355,0.24010733236010995,0.5155755607867545,11641.995460976526,10593.710691854552,181,8631.72011049724,8876.064585635359,14356.596685082874,8140.774370717716,12749.660733115541,6227.443679230585,0.3532096065517894,0.8285265502749153,0.3548267851904578
7,100,150,7.0,0.3755442244038624,0.2152027808981406,0.409252994697997,11027.22660346964,10409.224663190698,181,8631.72011049724,8876.064585635359,14356.596685082874,8140.774370717716,12749.660733115541,6227.443679230585,0.3532096065517894,0.8285265502749153,0.3548267851904578
7,100,150,8.0,0.473964597485276,0.1965243564439162,0.3295110460708079,10566.14981994236,10274.831496338178,181,8631.72011049724,8876.064585635359,14356.596685082874,8140.774370717716,12749.660733115541,6227.443679230585,0.3532096065517894,0.8285265502749153,0.3548267851904578
7,100,150,9.0,0.5505137458155129,0.1819967029709893,0.26748955121349777,10207.534665050132,10173.527857792044,181,8631.72011049724,8876.064585635359,14356.596685082874,8140.774370717716,12749.660733115541,6227.443679230585,0.3532096065517894,0.8285265502749153,0.3548267851904578
7,100,150,10.0,0.6117530720286948,0.1703745781598627,0.21787234981144243,9920.642509060042,10095.119890672197,181,8631.72011049724,8876.064585635359,14356.596685082874,8140.774370717716,12749.660733115541,6227.443679230585,0.3532096065517894,0.8285265502749153,0.3548267851904578
8,10,20,0.5,0.0,0.0,1.0,1435.6596685082875,1626.880120082301,181,1130.0085082872927,1150.296077348066,1435.6596685082875,1083.7485077131778,1667.943369492493,622.7433941644384,0.353959751126602,0.826957668990936,0.35410295362305366
8,10,20,1.0,1.6653345369377348e-16,0.0,1.0,1435.6596685082875,1626.880120082301,181,1130.0085082872927,1150.296077348066,1435.6596685082875,1083.7485077131778,1667.943369492493,622.7433941644384,0.353959751126602,0.826957668990936,0.35410295362305366
