config_id,power_mw,energy_mwh,risk_aversion,baseline_dam_weight,baseline_idm_weight,baseline_dc_weight,baseline_expected_return,baseline_portfolio_risk,num_trading_days,num_2024_days,num_2025_days,dam_mean,idm_mean,dc_mean,dam_std,idm_std,dc_std,corr_dam_idm,corr_dam_dc,corr_idm_dc
6,50,75,3.0,8.04739853390205e-16,0.13918537950357765,0.8608146204964214,4874.552093036115,3879.2759794455887,550,369,181,3588.6710000000003,3740.5306727272728,5057.912363636363,3044.4425735064233,4372.668872707334,2855.861586746102,0.46525302373992994,0.736079670890021,0.3862504620251802
6,50,75,4.5,0.0,0.2008621441207192,0.799137855879281,4793.300252574984,3843.618696387738,550,369,181,3588.6710000000003,3740.5306727272728,5057.912363636363,3044.4425735064233,4372.668872707334,2855.861586746102,0.46525302373992994,0.736079670890021,0.3862504620251802
6,50,75,6.0,1.5761783998417366e-16,0.23170052773301844,0.7682994722669814,4752.67433062691,3830.39960877912,550,369,181,3588.6710000000003,3740.5306727272728,5057.912363636363,3044.4425735064233,4372.668872707334,2855.861586746102,0.46525302373992994,0.736079670890021,0.3862504620251802
6,50,75,7.0,4.131678550487082e-17,0.24491697498761292,0.7550830250123871,4735.263224994842,3825.7909285910273,550,369,181,3588.6710000000003,3740.5306727272728,5057.912363636363,3044.4425735064233,4372.668872707334,2855.861586746102,0.46525302373992994,0.736079670890021,0.3862504620251802
6,50,75,8.0,0.0,0.25482931175723106,0.7451706882427691,4722.204894020422,3822.7711915823957,550,369,181,3588.6710000000003,3740.5306727272728,5057.912363636363,3044.4425735064233,4372.668872707334,2855.861586746102,0.46525302373992994,0.736079670890021,0.3862504620251802
6,50,75,9.0,1.1067677685283527e-17,0.2625389084647191,0.7374610915352809,4712.048412473685,3820.6875762260242,550,369,181,3588.6710000000003,3740.5306727272728,5057.912363636363,3044.4425735064233,4372.668872707334,2855.861586746102,0.46525302373992994,0.736079670890021,0.3862504620251802
6,50,75,10.0,0.06210282402480582,0.2609517607402544,0.6769454152349398,4622.895253970788,3804.126854194937,550,369,181,3588.6710000000003,3740.5306727272728,5057.912363636363,3044.4425735064233,4372.668872707334,2855.861586746102,0.46525302373992994,0.736079670890021,0.3862504620251802
7,100,150,0.5,0.0,0.0,1.0,10115.82490909091,7985.573641346831,550,369,181,7177.341945454546,7481.060945454546,10115.82490909091,6088.884540774234,8745.337457028403,5711.723071564784,0.4652530156738399,0.736079663219579,0.3862504500205938
7,100,150,1.0,0.0,0.0,1.0,10115.82490909091,7985.573641346831,550,369,181,7177.341945454546,7481.060945454546,10115.82490909091,6088.884540774234,8745.337457028403,5711.723071564784,0.4652530156738399,0.736079663219579,0.3862504500205938
7,100,150,2.0,0.0,0.04667010558503153,0.9533298944149693,9992.860196716367,7901.4935929544245,550,369,181,7177.341945454546,7481.060945454546,10115.82490909091,6088.884540774234,8745.337457028403,5711.723071564784,0.4652530156738399,0.736079663219579,0.3862504500205938
7,100,150,3.0,7.566657862306159e-16,0.13918527198795944,0.8608147280120398,9749.104570188107,7758.551581706527,550,369,181,7177.341945454546,7481.060945454546,10115.82490909091,6088.884540774234,8745.337457028403,5711.723071564784,0.4652530156738399,0.736079663219579,0.3862504500205938
7,100,150,4.5,0.0,0.20086204738531843,0.7991379526146828,9586.600824977855,7687.236992075837,550,369,181,7177.341945454546,7481.060945454546,10115.82490909091,6088.884540774234,8745.337457028403,5711.723071564784,0.4652530156738399,0.736079663219579,0.3862504500205938
7,100,150,6.0,1.0380683847328474e-17,0.23170043564671836,0.7682995643532816,9505.34895089009,7660.798807798662,550,369,181,7177.341945454546,7481.060945454546,10115.82490909091,6088.884540774234,8745.337457028403,5711.723071564784,0.4652530156738399,0.736079663219579,0.3862504500205938
7,100,150,7.0,0.0,0.24491688789935193,0.755083112100648,9470.526718767731,7651.581442085357,550,369,181,7177.341945454546,7481.060945454546,10115.82490909091,6088.884540774234,8745.337457028403,5711.723071564784,0.4652530156738399,0.736079663219579,0.3862504500205938
7,100,150,8.0,0.0,0.25482922761737326,0.7451707723826269,9444.410043283367,7645.541965147629,550,369,181,7177.341945454546,7481.060945454546,10115.82490909091,6088.884540774234,8745.337457028403,5711.723071564784,0.4652530156738399,0.736079663219579,0.3862504500205938
