config_id,power_mw,energy_mwh,scenario,dc_price_scale_factor,dam_mean,idm_mean,dc_mean,dam_std,idm_std,dc_std,corr_dam_idm,corr_dam_dc,corr_idm_dc,num_trading_days
6,50,75,down_60%,0.4,3245.6184,3408.1642,1595.7369,2305.7077,2875.1755,806.2646,0.6687,0.7221,0.4698,366
6,50,75,down_65%,0.35,3245.6184,3408.1642,1396.2648,2305.7077,2875.1755,705.481,0.6687,0.7221,0.4698,366
6,50,75,down_70%,0.3,3245.6184,3408.1642,1196.8008,2305.7077,2875.1755,604.6973,0.6687,0.7221,0.4698,366
6,50,75,down_75%,0.25,3245.6184,3408.1642,997.3339,2305.7077,2875.1755,503.9152,0.6687,0.7221,0.4698,366
6,50,75,down_80%,0.2,3245.6184,3408.1642,797.8669,2305.7077,2875.1755,403.1331,0.6687,0.7221,0.4698,366
6,50,75,down_30%,0.7,3245.6184,3408.1642,2792.5344,2305.7077,2875.1755,1410.9636,0.6687,0.7221,0.4698,366
6,50,75,down_25%,0.75,3245.6184,3408.1642,2992.0014,2305.7077,2875.1755,1511.7457,0.6687,0.7221,0.4698,366
6,50,75,down_20%,0.8,3245.6184,3408.1642,3191.4683,2305.7077,2875.1755,1612.5278,0.6687,0.7221,0.4698,366
6,50,75,down_15%,0.85,3245.6184,3408.1642,3390.9322,2305.7077,2875.1755,1713.3115,0.6687,0.7221,0.4698,366
6,50,75,down_10%,0.9,3245.6184,3408.1642,3590.4041,2305.7077,2875.1755,1814.0952,0.6687,0.7221,0.4698,366
6,50,75,down_5%,0.95,3245.6184,3408.1642,3789.868,2305.7077,2875.1755,1914.8789,0.6687,0.7221,0.4698,366
6,50,75,up_5%,1.05,3245.6184,3408.1642,4188.8019,2305.7077,2875.1755,2116.4431,0.6687,0.7221,0.4698,366
6,50,75,up_10%,1.1,3245.6184,3408.1642,4388.2658,2305.7077,2875.1755,2217.2268,0.6687,0.7221,0.4698,366
6,50,75,up_15%,1.15,3245.6184,3408.1642,4587.738,2305.7077,2875.1755,2318.0104,0.6687,0.7221,0.4698,366
6,50,75,up_25%,1.25,3245.6184,3408.1642,4986.6689,2305.7077,2875.1755,2519.5762,0.6687,0.7221,0.4698,366
6,50,75,up_20%,1.2,3245.6184,3408.1642,4787.2019,2305.7077,2875.1755,2418.7941,0.6687,0.7221,0.4698,366
6,50,75,up_30%,1.3,3245.6184,3408.1642,5186.1358,2305.7077,2875.1755,2620.3584,0.6687,0.7221,0.4698,366
7,100,150,base_case,1.0,6491.2368,6816.3284,7978.6702,4611.4151,5750.351,4031.322,0.6687,0.7221,0.4698,366
7,100,150,down_35%,0.65,6491.2368,6816.3284,5186.1358,4611.4151,5750.351,2620.3584,0.6687,0.7221,0.4698,366
7,100,150,down_40%,0.6,6491.2368,6816.3284,4787.2019,4611.4151,5750.351,2418.7941,0.6687,0.7221,0.4698,366
7,100,150,down_50%,0.5,6491.2368,6816.3284,3989.335,4611.4151,5750.351,2015.661,0.6687,0.7221,0.4698,366
7,100,150,down_45%,0.55,6491.2368,6816.3284,4388.2658,4611.4151,5750.351,2217.2268,0.6687,0.7221,0.4698,366
7,100,150,down_55%,0.45,6491.2368,6816.3284,3590.4041,4611.4151,5750.351,1814.0952,0.6687,0.7221,0.4698,366
7,100,150,down_60%,0.4,6491.2368,6816.3284,3191.4683,4611.4151,5750.351,1612.5278,0.6687,0.7221,0.4698,366
7,100,150,down_65%,0.35,6491.2368,6816.3284,2792.5344,4611.4151,5750.351,1410.9636,0.6687,0.7221,0.4698,366
7,100,150,down_70%,0.3,6491.2368,6816.3284,2393.5984,4611.4151,5750.351,1209.3963,0.6687,0.7221,0.4698,366
7,100,150,down_75%,0.25,6491.2368,6816.3284,1994.6675,4611.4151,5750.351,1007.8305,0.6687,0.7221,0.4698,366
7,100,150,down_80%,0.2,6491.2368,6816.3284,1595.7369,4611.4151,5750.351,806.2646,0.6687,0.7221,0.4698,366
7,100,150,down_30%,0.7,6491.2368,6816.3284,5585.0716,4611.4151,5750.351,2821.9257,0.6687,0.7221,0.4698,366
7,100,150,down_25%,0.75,6491.2368,6816.3284,5984.0025,4611.4151,5750.351,3023.4915,0.6687,0.7221,0.4698,366
