registeredAuctionParticipant,auctionUnit,serviceType,auctionProduct,Installed capacity (MW),Delivery capacity (MW),clearingPrice,deliveryStart,deliveryEnd,Delivery date,EFA block of the day 
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,24,3.03,2025-04-19T22:00:00,2025-04-20T02:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,24,2.25,2025-04-20T22:00:00,2025-04-21T02:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,24,2.13,2025-04-20T22:00:00,2025-04-21T02:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,24,1.83,2025-04-21T22:00:00,2025-04-22T02:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,24,2.77,2025-04-21T22:00:00,2025-04-22T02:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,24,1.51,2025-04-22T22:00:00,2025-04-23T02:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,24,3.09,2025-04-22T22:00:00,2025-04-23T02:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,24,2.27,2025-04-23T22:00:00,2025-04-24T02:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,24,1.49,2025-04-23T22:00:00,2025-04-24T02:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,24,2.57,2025-04-24T22:00:00,2025-04-25T02:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,24,0.93,2025-04-24T22:00:00,2025-04-25T02:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,23,4.75,2025-03-05T03:00:00,2025-03-05T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,23,10.11,2025-03-05T11:00:00,2025-03-05T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,23,9.74,2025-03-05T07:00:00,2025-03-05T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,23,11.5,2025-03-05T15:00:00,2025-03-05T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,23,4.44,2025-03-05T19:00:00,2025-03-05T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,23,7.4,2025-03-05T03:00:00,2025-03-05T07:00:00,,
