registeredAuctionParticipant,auctionUnit,serviceType,auctionProduct,Installed capacity (MW),delivery capacity (MW),clearingPrice,deliveryStart,deliveryEnd,Delivery date,EFA block of the day 
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,14,-2.64,2023-11-12T07:00:00,2023-11-12T11:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,28,-5.43,2023-11-12T11:00:00,2023-11-12T15:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,9.99,2023-11-12T11:00:00,2023-11-12T15:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,28,-6.57,2023-11-12T15:00:00,2023-11-12T19:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,17.57,2023-11-12T15:00:00,2023-11-12T19:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,28,-4.77,2023-11-12T19:00:00,2023-11-12T23:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,11.29,2023-11-12T19:00:00,2023-11-12T23:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,21,-4.5,2023-11-12T23:00:00,2023-11-13T03:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,12,2023-11-12T23:00:00,2023-11-13T03:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,21,-0.75,2023-11-13T03:00:00,2023-11-13T07:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,10.19,2023-11-13T03:00:00,2023-11-13T07:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,28,-3.12,2023-11-13T07:00:00,2023-11-13T11:00:00,,
