registeredAuctionParticipant,auctionUnit,serviceType,auctionProduct,Delivery quantity (MW) ,clearingPrice,deliveryStart,deliveryEnd,Delivery date,EFA block of the day 
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,1.41,2024-01-06T07:00:00,2024-01-06T11:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,1.05,2024-01-06T11:00:00,2024-01-06T15:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,2.68,2024-01-06T15:00:00,2024-01-06T19:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,1.51,2024-01-06T19:00:00,2024-01-06T23:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,0.7,2024-01-06T23:00:00,2024-01-07T03:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,0.95,2024-01-07T03:00:00,2024-01-07T07:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,1.46,2024-01-07T07:00:00,2024-01-07T11:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,0.86,2024-01-07T11:00:00,2024-01-07T15:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,2.84,2024-01-07T15:00:00,2024-01-07T19:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,1.56,2024-01-07T19:00:00,2024-01-07T23:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,0.72,2024-01-07T23:00:00,2024-01-08T03:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,0.85,2024-01-08T03:00:00,2024-01-08T07:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,1.57,2024-01-08T19:00:00,2024-01-08T23:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,0.94,2024-01-08T23:00:00,2024-01-09T03:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,0.87,2024-01-09T03:00:00,2024-01-09T07:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,1.68,2024-01-09T19:00:00,2024-01-09T23:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,0.69,2024-01-09T23:00:00,2024-01-10T03:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,0.9,2024-01-10T03:00:00,2024-01-10T07:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,1.28,2024-01-10T07:00:00,2024-01-10T11:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,1.1,2024-01-10T11:00:00,2024-01-10T15:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,5.07,2024-01-10T15:00:00,2024-01-10T19:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,1.62,2024-01-10T19:00:00,2024-01-10T23:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,1.3,2024-01-10T23:00:00,2024-01-11T03:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,0.82,2024-01-11T03:00:00,2024-01-11T07:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,1.91,2024-01-11T07:00:00,2024-01-11T11:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,1.12,2024-01-11T11:00:00,2024-01-11T15:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,3.17,2024-01-11T15:00:00,2024-01-11T19:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,1.44,2024-01-11T19:00:00,2024-01-11T23:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,0.69,2024-01-11T23:00:00,2024-01-12T03:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,0.82,2024-01-12T03:00:00,2024-01-12T07:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,1.4,2024-01-12T07:00:00,2024-01-12T11:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,0.72,2024-01-12T11:00:00,2024-01-12T15:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,1.61,2024-01-12T15:00:00,2024-01-12T19:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,1.33,2024-01-12T19:00:00,2024-01-12T23:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,-0.25,2024-01-12T23:00:00,2024-01-13T03:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,0.02,2024-01-13T03:00:00,2024-01-13T07:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,1.11,2024-01-13T07:00:00,2024-01-13T11:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,0.6,2024-01-13T11:00:00,2024-01-13T15:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,1.26,2024-01-13T15:00:00,2024-01-13T19:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,0.95,2024-01-13T19:00:00,2024-01-13T23:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,0.22,2024-01-13T23:00:00,2024-01-14T03:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,-0.02,2024-01-14T03:00:00,2024-01-14T07:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,1,2024-01-14T07:00:00,2024-01-14T11:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,0.5,2024-01-14T11:00:00,2024-01-14T15:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,1.43,2024-01-14T15:00:00,2024-01-14T19:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,0.9,2024-01-14T19:00:00,2024-01-14T23:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,-0.29,2024-01-14T23:00:00,2024-01-15T03:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,-0.71,2024-01-15T03:00:00,2024-01-15T07:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,1.17,2024-01-15T07:00:00,2024-01-15T11:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,0.74,2024-01-15T11:00:00,2024-01-15T15:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,6.2,2024-01-15T15:00:00,2024-01-15T19:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,1.46,2024-01-15T19:00:00,2024-01-15T23:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,0.63,2024-01-15T23:00:00,2024-01-16T03:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,0.7,2024-01-16T03:00:00,2024-01-16T07:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,48,1.53,2024-01-16T07:00:00,2024-01-16T11:00:00,,
